ID	LABEL	TYPE	agent	target	effect	demonstrated_with	condition	citation	A IAO:0000115
ID	LABEL	TYPE	I HTO:0000087	I HTO:0000088	I HTO:0000089	I HTO:0000090 SPLIT=|	A HTO:0000095	A IAO:0000119	A IAO:0000115
HTO:0000411	sweetness suppresses bitterness	HTO:0000410	HTO:0000111	HTO:0000114	HTO:0000231	CHEBI:17992|CHEBI:15854	Sucrose added to quinine and rated by children and adults, using forced-choice paired comparison and the general Labeled Magnitude Scale; bitterness fell from moderate to weak, and adults carrying the sensitive form of TAS1R3 reported the larger reduction.	PMID:25381313	Interaction in which the presence of sweetness lowers the perceived intensity of bitterness.
HTO:0000412	sweetness suppresses alkaloid bitterness	HTO:0000410	HTO:0000111	HTO:0000134	HTO:0000231	CHEBI:17992|CHEBI:27732	Sucrose added to caffeine and rated by children and adults, using forced-choice paired comparison and the general Labeled Magnitude Scale; adults carrying the sensitive form of TAS1R3 reported the greater reduction for caffeine.	PMID:25381313	Interaction in which the presence of sweetness lowers the perceived intensity of alkaloid bitterness.
HTO:0000413	sweetness suppresses thiourea bitterness	HTO:0000410	HTO:0000111	HTO:0000131	HTO:0000231	CHEBI:17992|CHEBI:8502	Sucrose added to 6-n-propylthiouracil and rated by children and adults, using forced-choice paired comparison; suppression held for every bitter agent tested, but the further moderation of it by TAS2R38 sensitivity did not reach statistical significance for PROP.	PMID:25381313	Interaction in which the presence of sweetness lowers the perceived intensity of thiourea bitterness.
HTO:0000414	saltiness suppresses bitterness	HTO:0000410	HTO:0000113	HTO:0000114	HTO:0000231	CHEBI:26710|CHEBI:15854	Sodium chloride mixed with quinine hydrochloride and rated by functional measurement with a two-stimulus procedure; the suppression is asymmetric, quinine having almost no suppressive effect on the saltiness of sodium chloride in return.	PMID:7878097	Interaction in which the presence of saltiness lowers the perceived intensity of bitterness.
HTO:0000415	sweetness suppresses sourness	HTO:0000410	HTO:0000111	HTO:0000112	HTO:0000231	CHEBI:17992|CHEBI:30769	Sweeteners matched for perceived sweetness, sucrose among them, mixed with each of four citric acid concentrations and rated by functional measurement with a two-stimulus procedure; equisweet sweeteners suppressed sourness equally across the concentration range, so the suppression tracks perceived sweetness rather than sweetener concentration.	PMID:2011446	Interaction in which the presence of sweetness lowers the perceived intensity of sourness.
HTO:0000416	sourness suppresses sweetness	HTO:0000410	HTO:0000112	HTO:0000111	HTO:0000231	CHEBI:30769|CHEBI:17992	Citric acid mixed with sucrose in aqueous solution and rated by consumers in China and in Denmark; the suppression of sucrose sweetness did not differ between the two cultures, and consumer clusters differed in how strongly they showed it.	PMID:33050242	Interaction in which the presence of sourness lowers the perceived intensity of sweetness.
HTO:0000417	bitterness suppresses sweetness	HTO:0000410	HTO:0000114	HTO:0000111	HTO:0000231	CHEBI:15854|CHEBI:17992	Factorial combinations of four sucrose and four quinine hydrochloride concentrations; the suppression of sweetness appeared at the highest quinine concentration in PROP super-tasters and medium-tasters, and was absent in non-tasters.	PMID:11595676	Interaction in which the presence of bitterness lowers the perceived intensity of sweetness.
HTO:0000418	thiourea bitterness suppresses sweetness	HTO:0000410	HTO:0000131	HTO:0000111	HTO:0000231	CHEBI:46261|CHEBI:17992	Mixtures of phenylthiocarbamide and sucrose; suppression of sweetness was stronger in PTC tasters than in non-tasters and tracked perceived bitterness rather than PTC concentration, which the authors read as evidence for neural inhibition rather than a chemical or receptor-level interaction.	PMID:479396	Interaction in which the presence of thiourea bitterness lowers the perceived intensity of sweetness.
HTO:0000419	sourness enhances saltiness	HTO:0000410	HTO:0000112	HTO:0000113	HTO:0000232	CHEBI:30769|CHEBI:26710	3 mM citric acid added to 75 mM and to 100 mM sodium chloride in a sensory evaluation; salty taste intensity rose for the 100 mM solution, and the authors conclude the addition may enhance saltiness rather than reporting the rise at both concentrations.	PMID:37648516	Interaction in which the presence of sourness raises the perceived intensity of saltiness.
